Date,Years,Months,Lake,Temp,O2
0,2000,1,GBS,NaN,NaN
0,2000,2,GBS,NaN,NaN
0,2000,3,GBS,NaN,NaN
0,2000,4,GBS,NaN,NaN
5/3/2000,2000,5,GBS,11.05153067,11.27091951
6/14/2000,2000,6,GBS,14.12836277,8.660633444
7/12/2000,2000,7,GBS,13.97437271,7.710807176
8/9/2000,2000,8,GBS,14.84691474,6.523181353
9/6/2000,2000,9,GBS,14.02563875,6.020102254
10/4/2000,2000,10,GBS,12.32362633,7.17873222
11/15/2000,2000,11,GBS,8.87507487,8.832987484
0,2000,12,GBS,NaN,NaN
0,2001,1,GBS,NaN,NaN
0,2001,2,GBS,NaN,NaN
0,2001,3,GBS,NaN,NaN
4/2/2001,2001,4,GBS,5.792288543,12.89725467
5/2/2001,2001,5,GBS,10.949214,11.53668208
6/11/2001,2001,6,GBS,13.23576531,9.178264066
7/9/2001,2001,7,GBS,15.33023127,7.900971494
8/6/2001,2001,8,GBS,16.41049961,6.960205277
9/3/2001,2001,9,GBS,14.18040917,6.598089133
10/1/2001,2001,10,GBS,12.77045663,7.202675142
11/13/2001,2001,11,GBS,8.750024453,NaN
0,2001,12,GBS,NaN,NaN
0,2002,1,GBS,NaN,NaN
2/4/2002,2002,2,GBS,2.336723832,15.16758304
3/4/2002,2002,3,GBS,3.842371061,13.71236921
4/15/2002,2002,4,GBS,7.112198953,12.28792058
5/27/2002,2002,5,GBS,12.80451429,9.151073832
6/10/2002,2002,6,GBS,15.52079659,8.534194913
7/22/2002,2002,7,GBS,16.21195603,6.430405164
8/5/2002,2002,8,GBS,16.45198704,6.401892162
9/2/2002,2002,9,GBS,15.07676108,5.417965548
10/15/2002,2002,10,GBS,11.81105769,6.365628286
11/25/2002,2002,11,GBS,8.368804237,9.596783838
0,2002,12,GBS,NaN,NaN
0,2003,1,GBS,NaN,NaN
0,2003,2,GBS,NaN,NaN
3/17/2003,2003,3,GBS,4.306992503,14.65051176
4/14/2003,2003,4,GBS,6.948699317,12.42384472
5/12/2003,2003,5,GBS,12.26192914,10.20789219
6/10/2003,2003,6,GBS,14.63440937,7.973950937
7/30/2003,2003,7,GBS,16.73509829,5.740474384
8/18/2003,2003,8,GBS,16.9045505,5.790611347
9/1/2003,2003,9,GBS,15.34596002,3.449090746
10/13/2003,2003,10,GBS,11.25958638,7.853762702
11/10/2003,2003,11,GBS,8.289090425,10.82225111
0,2003,12,GBS,NaN,NaN
0,2004,1,GBS,NaN,NaN
0,2004,2,GBS,NaN,NaN
3/29/2004,2004,3,GBS,4.045333422,13.31646652
4/13/2004,2004,4,GBS,6.970525696,12.20412165
5/10/2004,2004,5,GBS,9.983798233,9.760339764
6/21/2004,2004,6,GBS,13.19708481,7.291165757
7/5/2004,2004,7,GBS,14.76190101,6.221210367
8/2/2004,2004,8,GBS,15.65580129,5.478170694
9/27/2004,2004,9,GBS,13.68408873,6.532838431
10/11/2004,2004,10,GBS,12.66847995,8.05015083
0,2004,11,GBS,NaN,NaN
0,2004,12,GBS,NaN,NaN
0,2005,1,GBS,NaN,NaN
0,2005,2,GBS,NaN,NaN
0,2005,3,GBS,NaN,NaN
4/4/2005,2005,4,GBS,4.531100502,11.86674854
5/2/2005,2005,5,GBS,11.79776602,11.83756828
6/27/2005,2005,6,GBS,15.41385266,8.811758212
7/25/2005,2005,7,GBS,15.11952927,9.060488409
8/22/2005,2005,8,GBS,15.20226914,6.80216554
9/19/2005,2005,9,GBS,14.70029616,5.281117245
10/17/2005,2005,10,GBS,12.81005601,6.3848871
11/14/2005,2005,11,GBS,10.93564323,6.692258871
0,2005,12,GBS,NaN,NaN
0,2006,1,GBS,NaN,NaN
0,2006,2,GBS,NaN,NaN
0,2006,3,GBS,NaN,NaN
0,2006,4,GBS,NaN,NaN
5/2/2006,2006,5,GBS,8.056782322,12.60862553
6/12/2006,2006,6,GBS,13.40541849,9.199878193
7/24/2006,2006,7,GBS,16.30401251,6.610175652
8/21/2006,2006,8,GBS,15.35715715,6.3110648
9/18/2006,2006,9,GBS,15.77915268,7.122738963
10/16/2006,2006,10,GBS,14.16316535,6.086845518
11/13/2006,2006,11,GBS,10.41311951,9.45999955
12/11/2006,2006,12,GBS,8.468871479,10.82312798
0,2007,1,GBS,NaN,NaN
0,2007,2,GBS,NaN,NaN
3/5/2007,2007,3,GBS,4.981750795,14.19742838
4/2/2007,2007,4,GBS,6.180526745,12.4654234
5/2/2007,2007,5,GBS,9.338598589,10.4867084
6/25/2007,2007,6,GBS,18.27729058,8.299788633
7/23/2007,2007,7,GBS,17.61447027,6.222131767
8/20/2007,2007,8,GBS,17.97734727,7.564756564
9/17/2007,2007,9,GBS,15.9192572,7.734315
10/15/2007,2007,10,GBS,14.16609532,6.555126881
0,2007,11,GBS,NaN,NaN
12/10/2007,2007,12,GBS,6.054697725,11.39833075
0,2008,1,GBS,NaN,NaN
0,2008,2,GBS,NaN,NaN
3/31/2008,2008,3,GBS,NaN,NaN
4/28/2008,2008,4,GBS,6.833511665,12.57473398
5/26/2008,2008,5,GBS,11.72353999,9.380851848
6/23/2008,2008,6,GBS,14.62411262,6.719916824
7/21/2008,2008,7,GBS,15.25536767,6.146776261
8/18/2008,2008,8,GBS,15.52181242,4.323660023
9/15/2008,2008,9,GBS,14.94887319,4.083038315
10/13/2008,2008,10,GBS,12.29253751,7.338342459
11/10/2008,2008,11,GBS,10.49774854,7.199936648
12/8/2008,2008,12,GBS,6.229763423,10.29184944
0,2009,1,GBS,NaN,NaN
0,2009,2,GBS,NaN,NaN
3/30/2009,2009,3,GBS,4.495583795,12.53744331
4/27/2009,2009,4,GBS,9.167708892,13.54905755
5/27/2009,2009,5,GBS,14.0045515,9.557067431
6/22/2009,2009,6,GBS,14.20035558,8.17927949
7/20/2009,2009,7,GBS,15.05208794,5.931789527
8/17/2009,2009,8,GBS,16.82492604,5.47733347
9/14/2009,2009,9,GBS,15.51590868,5.857697264
10/12/2009,2009,10,GBS,15.01614856,7.446250092
11/16/2009,2009,11,GBS,9.280987118,8.869293757
12/7/2009,2009,12,GBS,7.778284952,11.0731262
0,2010,1,GBS,NaN,NaN
0,2010,2,GBS,NaN,NaN
0,2010,3,GBS,NaN,NaN
4/6/2010,2010,4,GBS,5.046645895,14.87177073
5/3/2010,2010,5,GBS,9.63421422,12.58232093
6/28/2010,2010,6,GBS,12.87953525,10.74776652
7/26/2010,2010,7,GBS,15.69133385,9.192590141
8/30/2010,2010,8,GBS,14.95289533,7.368171657
9/20/2010,2010,9,GBS,13.51532047,7.198656017
10/18/2010,2010,10,GBS,11.62560562,7.106551651
11/15/2010,2010,11,GBS,9.66541366,9.757737681
0,2010,12,GBS,NaN,NaN
0,2011,1,GBS,NaN,NaN
0,2011,2,GBS,NaN,NaN
3/21/2011,2011,3,GBS,3.780289627,14.3120222
4/11/2011,2011,4,GBS,7.503627571,14.60489482
5/2/2011,2011,5,GBS,11.28628588,10.84546917
6/27/2011,2011,6,GBS,13.78074493,7.251204195
7/20/2011,2011,7,GBS,15.3410714,6.564540937
8/22/2011,2011,8,GBS,16.10032465,6.081377235
9/19/2011,2011,9,GBS,15.33990446,5.212890881
10/17/2011,2011,10,GBS,12.89471085,6.0270289
11/14/2011,2011,11,GBS,10.11653328,7.239740818
12/12/2011,2011,12,GBS,6.886656501,10.23069858
0,2012,1,GBS,NaN,NaN
0,2012,2,GBS,NaN,NaN
3/26/2012,2012,3,GBS,5.434728288,15.67083463
4/23/2012,2012,4,GBS,7.680606327,13.42956012
5/21/2012,2012,5,GBS,10.56399702,10.34937014
6/18/2012,2012,6,GBS,13.28182474,7.883721048
7/16/2012,2012,7,GBS,14.99742571,5.640629893
8/13/2012,2012,8,GBS,15.29832969,5.237513278
9/10/2012,2012,9,GBS,15.5568904,4.896331681
10/8/2012,2012,10,GBS,13.72553004,5.868024743
11/5/2012,2012,11,GBS,10.32001704,7.129483327
12/3/2012,2012,12,GBS,7.355040913,9.494618323
0,2013,1,GBS,NaN,NaN
0,2013,2,GBS,NaN,NaN
3/18/2013,2013,3,GBS,2.626727328,13.7686026
4/15/2013,2013,4,GBS,4.510706345,14.41811684
5/13/2013,2013,5,GBS,8.847588018,11.80715995
6/10/2013,2013,6,GBS,12.53558995,11.27596827
7/8/2013,2013,7,GBS,14.62691441,6.993585809
8/5/2013,2013,8,GBS,16.37511361,4.760018979
9/2/2013,2013,9,GBS,13.69691611,4.848167727
10/28/2013,2013,10,GBS,11.49071668,7.072780352
11/25/2013,2013,11,GBS,8.475513361,7.610390381
12/11/2013,2013,12,GBS,6.054527976,10.3004793
0,2014,1,GBS,NaN,NaN
0,2014,2,GBS,NaN,NaN
3/31/2014,2014,3,GBS,NaN,NaN
4/28/2014,2014,4,GBS,8.578220725,12.23757382
5/26/2014,2014,5,GBS,12.68271834,9.512813832
6/23/2014,2014,6,GBS,13.98158675,5.598138542
7/21/2014,2014,7,GBS,15.94861688,4.513027164
8/18/2014,2014,8,GBS,15.36389784,4.300218607
9/15/2014,2014,9,GBS,14.96402699,4.755826454
10/13/2014,2014,10,GBS,14.35026443,5.420488096
11/10/2014,2014,11,GBS,11.88469365,7.039000058
12/8/2014,2014,12,GBS,7.866197166,9.643940899
0,2015,1,GBS,NaN,NaN
0,2015,2,GBS,NaN,NaN
0,2015,3,GBS,NaN,NaN
0,2015,4,GBS,NaN,NaN
5/20/2015,2015,5,GBS,11.16226247,8.057933239
6/17/2015,2015,6,GBS,12.92901247,5.543524991
7/15/2015,2015,7,GBS,14.73348782,4.301189633
8/12/2015,2015,8,GBS,16.90722052,3.676767095
9/2/2015,2015,9,GBS,15.77179413,2.640086646
10/7/2015,2015,10,GBS,12.87146971,4.696339741
11/4/2015,2015,11,GBS,10.31185549,5.595706654
12/2/2015,2015,12,GBS,8.119504156,10.72296521
0,2016,1,GBS,NaN,NaN
0,2016,2,GBS,NaN,NaN
0,2016,3,GBS,NaN,NaN
4/1/2016,2016,4,GBS,4.482609746,13.47108844
5/9/2016,2016,5,GBS,11.10672866,10.61988229
6/22/2016,2016,6,GBS,14.26475747,6.08522183
7/13/2016,2016,7,GBS,16.11230303,4.631771391
8/10/2016,2016,8,GBS,16.11106265,4.608852602
9/7/2016,2016,9,GBS,15.75105238,5.076926228
10/19/2016,2016,10,GBS,12.10904709,6.188631974
11/9/2016,2016,11,GBS,9.680799769,6.674772537
0,2016,12,GBS,NaN,NaN
0,2017,1,GBS,NaN,NaN
0,2017,2,GBS,NaN,NaN
3/22/2017,2017,3,GBS,5.46486493,12.94967643
4/26/2017,2017,4,GBS,8.678072006,11.55387281
5/30/2017,2017,5,GBS,14.41163508,9.496787146
6/28/2017,2017,6,GBS,16.24594176,7.885347391
7/30/2017,2017,7,GBS,16.42872359,6.055438386
8/23/2017,2017,8,GBS,16.63901627,5.043358289
9/20/2017,2017,9,GBS,14.72791077,6.043379652
10/18/2017,2017,10,GBS,13.54843619,7.417511406
11/14/2017,2017,11,GBS,10.13718151,8.816479834
12/6/2017,2017,12,GBS,6.662436682,10.40144494
0,2018,1,GBS,NaN,NaN
0,2018,2,GBS,NaN,NaN
0,2018,3,GBS,NaN,NaN
4/25/2018,2018,4,GBS,9.450421339,13.60341192
5/22/2018,2018,5,GBS,12.30221293,9.809930891
6/19/2018,2018,6,GBS,15.1731852,6.772219109
7/30/2018,2018,7,GBS,16.32748415,5.00708793
8/22/2018,2018,8,GBS,15.30561024,4.100102364
9/19/2018,2018,9,GBS,16.45818222,4.642143701
10/10/2018,2018,10,GBS,12.95841406,5.401088029
11/28/2018,2018,11,GBS,8.497156156,9.081854733
0,2018,12,GBS,NaN,NaN
0,2019,1,GBS,NaN,NaN
0,2019,2,GBS,NaN,NaN
3/27/2019,2019,3,GBS,5.536550232,13.14808198
4/23/2019,2019,4,GBS,8.475099929,11.93585463
5/22/2019,2019,5,GBS,11.78817959,9.093622091
6/26/2019,2019,6,GBS,16.21718225,8.274002726
7/24/2019,2019,7,GBS,16.80371009,6.069637706
8/21/2019,2019,8,GBS,16.00398944,4.964639297
9/18/2019,2019,9,GBS,15.22829242,4.686701086
10/23/2019,2019,10,GBS,12.5739648,5.879002925
0,2019,11,GBS,NaN,NaN
12/11/2019,2019,12,GBS,7.016961795,8.99852733
